jahr;kt;anz
2008;"AR";16474
2008;"BE";279622
2008;"BL";80648
2008;"BS";52774
2008;"FR";75977
2008;"GE";105191
2008;"GL";9328
2008;"GR";52661
2008;"JU";21536
2008;"LU";111272
2008;"NE";49316
2008;"NW";13494
2008;"OW";10835
2008;"SG";125671
2008;"SH";27692
2008;"SO";72479
2008;"SZ";41953
2008;"TG";60546
2008;"TI";83052
2008;"UR";9142
2008;"VD";186958
2008;"VS";98854
2008;"ZG";33944
2008;"ZH";387677
2009;"AG";172150
2009;"AI";4248
2009;"AR";18363
2009;"BE";303550
2009;"BL";83319
2009;"BS";54386
2009;"FR";76262
2009;"GE";107727
2009;"GL";10265
2009;"GR";50954
2009;"JU";19272
2009;"LU";112148
2009;"NE";50384
2009;"NW";13968
2009;"OW";11474
2009;"SG";135406
2009;"SH";29576
2009;"SO";80631
2009;"SZ";43377
2009;"TG";70470
2009;"TI";84219
2009;"UR";11648
2009;"VD";181520
2009;"VS";97048
2009;"ZG";37003
2009;"ZH";389208
2010;"AG";172408
2010;"AI";4405
2010;"AR";18389
2010;"BE";314634
2010;"BL";84355
2010;"BS";55861
2010;"FR";81721
2010;"GE";108522
2010;"GL";10248
2010;"GR";52326
2010;"JU";20637
2010;"LU";119831
2010;"NE";50877
2010;"NW";16286
2010;"OW";13039
2010;"SG";138862
2010;"SH";29050
2010;"SO";80946
2010;"SZ";47278
2010;"TG";69213
2010;"TI";87997
2010;"UR";11214
2010;"VD";192601
2010;"VS";102226
2010;"ZG";36510
2010;"ZH";414150
2011;"AG";180640
2011;"AI";4819
2011;"AR";19283
2011;"BE";374091
2011;"BL";91488
2011;"BS";53035
2011;"FR";84698
2011;"GE";105510
2011;"GL";10820
2011;"GR";58784
2011;"JU";19669
2011;"LU";126567
2011;"NE";51044
2011;"NW";15644
2011;"OW";13236
2011;"SG";145002
2011;"SH";30657
2011;"SO";83365
2011;"SZ";50001
2011;"TG";76440
2011;"TI";92102
2011;"UR";11086
2011;"VD";194582
2011;"VS";101369
2011;"ZG";38316
2011;"ZH";425140
2012;"AG";140518
2012;"AI";3573
2012;"AR";15619
2012;"BE";268435
2012;"BL";72482
2012;"BS";46906
2012;"FR";72273
2012;"GE";103069
2012;"GL";7557
2012;"GR";49578
2012;"JU";17105
2012;"LU";108934
2012;"NE";47206
2012;"NW";13057
2012;"OW";11514
2012;"SG";125886
2012;"SH";28295
2012;"SO";65610
2012;"SZ";44672
2012;"TG";59656
2012;"TI";83453
2012;"UR";9784
2012;"VD";172614
2012;"VS";94891
2012;"ZG";32860
2012;"ZH";354775
2013;"AG";180693
2013;"AI";4490
2013;"AR";18928
2013;"BE";320607
2013;"BL";83317
2013;"BS";53310
2013;"FR";84721
2013;"GE";105946
2013;"GL";9820
2013;"GR";62800
2013;"JU";22221
2013;"LU";124906
2013;"NE";49287
2013;"NW";15145
2013;"OW";12747
2013;"SG";138560
2013;"SH";30613
2013;"SO";82147
2013;"SZ";50047
2013;"TG";69731
2013;"TI";93931
2013;"UR";10823
2013;"VD";188071
2013;"VS";112126
2013;"ZG";37991
2013;"ZH";422166
2014;"AG";206499
2014;"AI";5259
2014;"AR";20352
2014;"BE";361330
2014;"BL";97784
2014;"BS";59726
2014;"FR";98581
2014;"GE";122852
2014;"GL";11718
2014;"GR";65610
2014;"JU";24525
2014;"LU";140046
2014;"NE";56425
2014;"NW";16810
2014;"OW";14080
2014;"SG";157693
2014;"SH";33428
2014;"SO";88239
2014;"SZ";55708
2014;"TG";79333
2014;"TI";111751
2014;"UR";11720
2014;"VD";223453
2014;"VS";118466
2014;"ZG";42749
2014;"ZH";473049
