gnr;jahr;dim;wert
575;1981;21;-7.48
575;1981;22;-3.78
576;1981;21;-8.31
576;1981;22;12.08
577;1981;21;-8.53
577;1981;22;0.41
578;1981;21;-17.66
578;1981;22;3.46
579;1981;21;-13.42
579;1981;22;13.45
580;1981;21;-3.75
580;1981;22;10.76
581;1981;21;-3.24
581;1981;22;1.46
582;1981;21;-9.22
582;1981;22;5.60
584;1981;21;-4.25
584;1981;22;6.06
585;1981;21;-6.81
585;1981;22;6.98
586;1981;21;-16.40
586;1981;22;5.15
587;1981;21;-5.29
587;1981;22;1.50
588;1981;21;-11.87
588;1981;22;0.96
589;1981;21;-12.59
589;1981;22;-0.09
590;1981;21;-6.47
590;1981;22;-1.62
591;1981;21;-19.81
591;1981;22;2.21
592;1981;21;-3.25
592;1981;22;6.65
593;1981;21;-3.50
593;1981;22;2.11
594;1981;21;-6.59
594;1981;22;0.39
602;1981;21;-9.26
602;1981;22;7.02
603;1981;21;-1.88
603;1981;22;7.97
605;1981;21;-11.66
605;1981;22;8.04
606;1981;21;-10.31
606;1981;22;6.53
607;1981;21;-8.92
607;1981;22;7.39
608;1981;21;-3.07
608;1981;22;7.97
609;1981;21;-11.65
609;1981;22;10.32
610;1981;21;-10.27
610;1981;22;11.02
611;1981;21;0.06
611;1981;22;5.38
612;1981;21;-4.65
612;1981;22;4.18
613;1981;21;-17.21
613;1981;22;11.62
614;1981;21;-18.70
614;1981;22;14.00
615;1981;21;-14.08
615;1981;22;7.43
616;1981;21;2.12
616;1981;22;1.28
617;1981;21;-10.06
617;1981;22;1.65
619;1981;21;-9.84
619;1981;22;8.96
620;1981;21;-7.90
620;1981;22;12.53
622;1981;21;2.54
622;1981;22;7.49
623;1981;21;0.50
623;1981;22;3.25
624;1981;21;-5.63
624;1981;22;6.78
625;1981;21;-10.18
625;1981;22;5.61
626;1981;21;-9.51
626;1981;22;4.28
627;1981;21;1.98
627;1981;22;1.29
628;1981;21;-9.04
628;1981;22;7.40
629;1981;21;-11.53
629;1981;22;13.13
630;1981;21;0.64
630;1981;22;3.30
632;1981;21;-0.45
632;1981;22;4.38
661;1981;21;-7.99
661;1981;22;10.52
662;1981;21;-8.01
662;1981;22;7.45
663;1981;21;1.88
663;1981;22;8.36
664;1981;21;-8.24
664;1981;22;20.46
665;1981;21;-10.30
665;1981;22;9.49
666;1981;21;-3.23
666;1981;22;1.61
667;1981;21;-0.40
667;1981;22;1.00
668;1981;21;-3.90
668;1981;22;7.32
669;1981;21;-7.88
669;1981;22;11.30
670;1981;21;-4.95
670;1981;22;4.98
671;1981;21;-3.48
671;1981;22;16.69
681;1981;21;6.10
681;1981;22;-15.22
683;1981;21;-6.53
683;1981;22;18.04
687;1981;21;-10.46
687;1981;22;5.00
690;1981;21;-7.79
690;1981;22;0.17
691;1981;21;-3.58
691;1981;22;-3.45
692;1981;21;-7.87
692;1981;22;-3.33
694;1981;21;-9.54
694;1981;22;-6.47
696;1981;21;-3.12
696;1981;22;2.02
700;1981;21;3.08
700;1981;22;-11.96
701;1981;21;-4.46
701;1981;22;-7.63
703;1981;21;-1.52
703;1981;22;-0.52
704;1981;21;-8.90
