"jahr";"kt";"Partei";"Wert"
1983;"BE";"1";15,060382
1987;"BE";"1";16,086598
1991;"BE";"1";13,618612
1995;"BE";"1";15,958551
1999;"BE";"1";17,174845
2003;"BE";"1";14,798483
2007;"BE";"1";15,1117
2011;"BE";"1";8,655301
1971;"BL";"1";23,05029
1975;"BL";"1";24,160623
1979;"BL";"1";26,594908
1983;"BL";"1";24,908948
1987;"BL";"1";21,794165
1991;"BL";"1";24,349992
1995;"BL";"1";0
1999;"BL";"1";0
2003;"BL";"1";0
2007;"BL";"1";17,023533
2011;"BL";"1";0
1971;"BS";"1";24,435743
1975;"BS";"1";22,948144
1979;"BS";"1";25,339104
1983;"BS";"1";21,829645
1987;"BS";"1";23,452718
1991;"BS";"1";29,102151
1995;"BS";"1";27,02439
1999;"BS";"1";22,819264
2003;"BS";"1";18,370266
2007;"BS";"1";20,49871
2011;"BS";"1";19,248896
1971;"FR";"1";24,724315
1975;"FR";"1";22,129133
1979;"FR";"1";22,963672
1983;"FR";"1";20,002192
1987;"FR";"1";16,674218
1991;"FR";"1";16,154076
1995;"FR";"1";15,894935
1999;"FR";"1";14,780921
2003;"FR";"1";12,765492
2007;"FR";"1";13,833597
2011;"FR";"1";12,814065
1971;"GE";"1";33,255402
1975;"GE";"1";31,393929
1979;"GE";"1";36,019452
1983;"GE";"1";35,310204
1987;"GE";"1";36,10062
1991;"GE";"1";34,972978
1995;"GE";"1";31,278415
1999;"GE";"1";31,235778
2003;"GE";"1";24,012453
2007;"GE";"1";22,49361
2011;"GE";"1";0
1971;"GL";"1";42,360592
1975;"GL";"1";0
1979;"GL";"1";0
1983;"GL";"1";0
1987;"GL";"1";0
1991;"GL";"1";0
1995;"GL";"1";0
1999;"GL";"1";0
2003;"GL";"1";0
2007;"GL";"1";0
2011;"GL";"1";0
1971;"GR";"1";14,789166
1975;"GR";"1";18,155983
1979;"GR";"1";22,878123
1983;"GR";"1";20,080637
1987;"GR";"1";18,254185
1991;"GR";"1";18,078061
1995;"GR";"1";16,49846
1999;"GR";"1";15,100778
2003;"GR";"1";15,78665
2007;"GR";"1";19,15395
2011;"GR";"1";11,904961
1971;"JU";"1";28,785339
1975;"JU";"1";25,651821
1979;"JU";"1";30,865957
1983;"JU";"1";28,68475
1987;"JU";"1";33,369152
1991;"JU";"1";35,080991
1995;"JU";"1";29,445285
1999;"JU";"1";19,494976
2003;"JU";"1";16,316943
2007;"JU";"1";13,361469
2011;"JU";"1";9,528327
1971;"LU";"1";30,02071
1975;"LU";"1";29,080864
1979;"LU";"1";31,705554
1983;"LU";"1";28,611123
1987;"LU";"1";29,796023
1991;"LU";"1";27,858671
1995;"LU";"1";25,499668
1999;"LU";"1";22,645081
2003;"LU";"1";23,10636
2007;"LU";"1";21,84544
2011;"LU";"1";18,404097
1971;"NE";"1";40,274579
1975;"NE";"1";44,493164
1979;"NE";"1";46,990859
1983;"NE";"1";50,365139
1987;"NE";"1";50,419336
1991;"NE";"1";49,564577
1995;"NE";"1";50,849579
1999;"NE";"1";44,537428
2003;"NE";"1";29,242695
2007;"NE";"1";25,908545
2011;"NE";"1";26,823335
1971;"NW";"1";0
1975;"NW";"1";0
1979;"NW";"1";0
1983;"NW";"1";0
1987;"NW";"1";0
1991;"NW";"1";0
1995;"NW";"1";0
1999;"NW";"1";0
2003;"NW";"1";0
2007;"NW";"1";0
2011;"NW";"1";0
1971;"OW";"1";0
1975;"OW";"1";0
1979;"OW";"1";0
1983;"OW";"1";0
1987;"OW";"1";0
1991;"OW";"1";0
1995;"OW";"1";0
1999;"OW";"1";0
2003;"OW";"1";0
2007;"OW";"1";0
2011;"OW";"1";0
1971;"SG";"1";23,595471
1975;"SG";"1";25,109555
1979;"SG";"1";27,607671
1983;"SG";"1";27,497049
1987;"SG";"1";24,018557
1991;"SG";"1";20,014328
1995;"SG";"1";17,023788
1999;"SG";"1";16,849835
2003;"SG";"1";14,657065
2007;"SG";"1";13,635969
2011;"SG";"1";12,267061
1971;"SH";"1";33,094962
1975;"SH";"1";40,060698
1979;"SH";"1";32,242869
1983;"SH";"1";26,18046
1987;"SH";"1";34,304511
1991;"SH";"1";28,549268
1995;"SH";"1";31,849212
1999;"SH";"1";40,420281
2003;"SH";"1";29,130883
2007;"SH";"1";26,686294
2011;"SH";"1";12,291907
1971;"SO";"1";34,298831
1975;"SO";"1";38,691035
1979;"SO";"1";39,008083
1983;"SO";"1";37,219037
1987;"SO";"1";36,31872
1991;"SO";"1";32,773808
1995;"SO";"1";25,451042
1999;"SO";"1";25,375842
2003;"SO";"1";23,967346
2007;"SO";"1";20,957485
2011;"SO";"1";18,412388
1971;"SZ";"1";20,393818
1975;"SZ";"1";21,269898
1979;"SZ";"1";28,028658
1983;"SZ";"1";25,955426
1987;"SZ";"1";24,25126
1991;"SZ";"1";25,899713
1995;"SZ";"1";24,002064
1999;"SZ";"1";19,114191
2003;"SZ";"1";0
2007;"SZ";"1";16,726251
2011;"SZ";"1";0
1971;"TG";"1";16,867083
1975;"TG";"1";14,421606
1979;"TG";"1";16,903615
1983;"TG";"1";18,303511
1987;"TG";"1";18,505896
1991;"TG";"1";16,538747
1995;"TG";"1";15,302018
1999;"TG";"1";14,678322
2003;"TG";"1";11,877841
2007;"TG";"1";12,098342
2011;"TG";"1";0
1971;"TI";"1";38,002473
1975;"TI";"1";39,099553
1979;"TI";"1";36,267945
1983;"TI";"1";37,891535
1987;"TI";"1";34,825956
1991;"TI";"1";29,423749
1995;"TI";"1";30,474986
1999;"TI";"1";27,680494
2003;"TI";"1";29,803558
2007;"TI";"1";28,116849
2011;"TI";"1";24,843401
1971;"UR";"1";0
1975;"UR";"1";0
1979;"UR";"1";0
1983;"UR";"1";0
1987;"UR";"1";0
1991;"UR";"1";0
1995;"UR";"1";0
1999;"UR";"1";0
2003;"UR";"1";0
2007;"UR";"1";87,259059
2011;"UR";"1";0
