kt;jahr;dim;wert
"GR";1990;21;-0.87
"GR";1990;22;1.78
"JU";1990;21;3.31
"JU";1990;22;-14.76
"LU";1990;21;-3.04
"LU";1990;22;3.83
"NE";1990;21;6.24
"NE";1990;22;-5.96
"NW";1990;21;-3.49
"NW";1990;22;7.94
"OW";1990;21;-5.91
"OW";1990;22;8.72
"SG";1990;21;-3.06
"SG";1990;22;3.81
"SH";1990;21;-4.32
"SH";1990;22;0.86
"SO";1990;21;-3.82
"SO";1990;22;0.99
"SZ";1990;21;-10.58
"SZ";1990;22;7.35
"TG";1990;21;-5.66
"TG";1990;22;6.67
"TI";1990;21;-1.86
"TI";1990;22;-10.81
"UR";1990;21;-8.46
"UR";1990;22;2.31
"VD";1990;21;7.89
"VD";1990;22;-1.54
"VS";1990;21;-2.57
"VS";1990;22;5.11
"ZG";1990;21;0.19
"ZG";1990;22;3.81
"ZH";1990;21;2.12
"ZH";1990;22;-0.69
"AG";1991;21;-4.23
"AG";1991;22;6.51
"AI";1991;21;-9.27
"AI";1991;22;12.87
"AR";1991;21;-5.25
"AR";1991;22;5.71
"BE";1991;21;-0.37
"BE";1991;22;1.35
"BL";1991;21;2.38
"BL";1991;22;-3.80
"BS";1991;21;4.63
"BS";1991;22;-9.77
"FR";1991;21;2.19
"FR";1991;22;-1.85
"GE";1991;21;9.13
"GE";1991;22;-11.45
"GL";1991;21;-5.90
"GL";1991;22;5.58
"GR";1991;21;-1.15
"GR";1991;22;1.81
"JU";1991;21;3.50
"JU";1991;22;-15.16
"LU";1991;21;-3.13
"LU";1991;22;4.04
"NE";1991;21;6.10
"NE";1991;22;-6.36
"NW";1991;21;-3.68
"NW";1991;22;8.02
"OW";1991;21;-5.86
"OW";1991;22;8.79
"SG";1991;21;-3.35
"SG";1991;22;3.88
"SH";1991;21;-4.55
"SH";1991;22;0.94
"SO";1991;21;-3.82
"SO";1991;22;0.95
"SZ";1991;21;-10.71
"SZ";1991;22;7.26
"TG";1991;21;-6.00
"TG";1991;22;6.50
"TI";1991;21;-2.56
"TI";1991;22;-10.41
"UR";1991;21;-8.72
"UR";1991;22;2.51
"VD";1991;21;8.01
"VD";1991;22;-1.98
"VS";1991;21;-2.42
"VS";1991;22;4.01
"ZG";1991;21;0.05
"ZG";1991;22;3.88
"ZH";1991;21;2.17
"ZH";1991;22;-0.29
"AG";1992;21;-4.16
"AG";1992;22;6.44
"AI";1992;21;-9.54
"AI";1992;22;12.82
"AR";1992;21;-5.36
"AR";1992;22;5.62
"BE";1992;21;-0.18
"BE";1992;22;1.17
"BL";1992;21;2.26
"BL";1992;22;-3.25
"BS";1992;21;4.70
"BS";1992;22;-9.04
"FR";1992;21;2.21
"FR";1992;22;-2.40
"GE";1992;21;9.30
"GE";1992;22;-11.50
"GL";1992;21;-6.09
"GL";1992;22;5.70
"GR";1992;21;-1.33
"GR";1992;22;1.87
"JU";1992;21;3.60
"JU";1992;22;-15.61
"LU";1992;21;-3.17
"LU";1992;22;4.24
"NE";1992;21;5.95
"NE";1992;22;-6.95
"NW";1992;21;-3.87
"NW";1992;22;8.08
"OW";1992;21;-5.76
"OW";1992;22;8.79
"SG";1992;21;-3.59
"SG";1992;22;4.07
"SH";1992;21;-4.72
"SH";1992;22;1.06
"SO";1992;21;-3.81
"SO";1992;22;0.92
"SZ";1992;21;-10.77
"SZ";1992;22;7.21
"TG";1992;21;-6.28
"TG";1992;22;6.36
"TI";1992;21;-3.07
"TI";1992;22;-10.04
"UR";1992;21;-8.91
"UR";1992;22;2.62
"VD";1992;21;8.02
"VD";1992;22;-2.62
"VS";1992;21;-2.39
"VS";1992;22;2.62
"ZG";1992;21;-0.03
"ZG";1992;22;4.05
"ZH";1992;21;2.23
"ZH";1992;22;0.19
"AG";1993;21;-4.11
"AG";1993;22;6.31
"AI";1993;21;-9.77
"AI";1993;22;12.79
"AR";1993;21;-5.40
"AR";1993;22;5.62
"BE";1993;21;-0.02
"BE";1993;22;1.01
"BL";1993;21;2.20
"BL";1993;22;-2.57
"BS";1993;21;4.80
